"","sample_name","metric","value"
"89","G18001282","N50",260148
"90","G18001282","total_length",7093464
"91","G18001285","contamination_status",0
"92","G18001285","percentage_contamination",0
"93","G18001285","contigs",60
"94","G18001285","N50",306940
"95","G18001285","total_length",7127403
"96","G18001290","contamination_status",0
"97","G18001290","percentage_contamination",0
"98","G18001290","contigs",70
"99","G18001290","N50",290314
"100","G18001290","total_length",6839022
"101","G18001291","contamination_status",0
"102","G18001291","percentage_contamination",0
"103","G18001291","contigs",30
"104","G18001291","N50",583131
"105","G18001291","total_length",6508738
"106","G18001302","contamination_status",0
"107","G18001302","percentage_contamination",0
"108","G18001302","contigs",53
"109","G18001302","N50",308470
"110","G18001302","total_length",7123405
"111","G18001304","contamination_status",0
"112","G18001304","percentage_contamination",0
"113","G18001304","contigs",50
"114","G18001304","N50",596585
"115","G18001304","total_length",6767196
"116","G18001306","contamination_status",0
"117","G18001306","percentage_contamination",0
"118","G18001306","contigs",69
"119","G18001306","N50",249273
"120","G18001306","total_length",7476857
"121","G18001308","contamination_status",0
"122","G18001308","percentage_contamination",0
"123","G18001308","contigs",64
"124","G18001308","N50",264918
"125","G18001308","total_length",6894847
"126","G18001309","contamination_status",0
"127","G18001309","percentage_contamination",0
"128","G18001309","contigs",27
"129","G18001309","N50",605451
"130","G18001309","total_length",6343168
"131","G18001311","contamination_status",0
"132","G18001311","percentage_contamination",0
"133","G18001311","contigs",51
"134","G18001311","N50",348967
"135","G18001311","total_length",6963903
"136","G18001313","contamination_status",0
"137","G18001313","percentage_contamination",0
"138","G18001313","contigs",58
"139","G18001313","N50",306940
"140","G18001313","total_length",7119662
"141","G18001314","contamination_status",0
"142","G18001314","percentage_contamination",0
"143","G18001314","contigs",82
"144","G18001314","N50",299673
"145","G18001314","total_length",7100579
"146","G18001316","contamination_status",0
"147","G18001316","percentage_contamination",0
"148","G18001316","contigs",37
"149","G18001316","N50",413924
"150","G18001316","total_length",6744877
"151","G18001319","contamination_status",1
"152","G18001319","percentage_contamination",25.36
"153","G18001319","contigs",352
"154","G18001319","N50",76652
"155","G18001319","total_length",7690360
"156","G18001321","contamination_status",0
"157","G18001321","percentage_contamination",0
"158","G18001321","contigs",56
"159","G18001321","N50",291096
"160","G18001321","total_length",7258215
"161","G18001326","contamination_status",0
"162","G18001326","percentage_contamination",0
"163","G18001326","contigs",42
"164","G18001326","N50",380854
"165","G18001326","total_length",6749670
"166","G18001329","contamination_status",0
"167","G18001329","percentage_contamination",0
"168","G18001329","contigs",35
"169","G18001329","N50",374698
"170","G18001329","total_length",6581957
"171","G18001331","contamination_status",0
"172","G18001331","percentage_contamination",0
"173","G18001331","contigs",21
"174","G18001331","N50",771432
"175","G18001331","total_length",6295919
"176","G18001333","contamination_status",0
"177","G18001333","percentage_contamination",0
"178","G18001333","contigs",66
"179","G18001333","N50",240999
"180","G18001333","total_length",7118045
"181","G18001335","contamination_status",0
"182","G18001335","percentage_contamination",0
"183","G18001335","contigs",48
"184","G18001335","N50",323541
"185","G18001335","total_length",7095746
"186","G18001339","contamination_status",0
"187","G18001339","percentage_contamination",0
"188","G18001339","contigs",69
"189","G18001339","N50",408413
"190","G18001339","total_length",7146521
"191","G18001340","contamination_status",0
"192","G18001340","percentage_contamination",0
"193","G18001340","contigs",87
"194","G18001340","N50",226648
"195","G18001340","total_length",6899237
"196","G18001350","contamination_status",0
"197","G18001350","percentage_contamination",0
"198","G18001350","contigs",30
"199","G18001350","N50",426213
"200","G18001350","total_length",6366418
"201","G18001356","contamination_status",0
"202","G18001356","percentage_contamination",0
"203","G18001356","contigs",61
"204","G18001356","N50",313416
"205","G18001356","total_length",6758367
"206","G18001357","contamination_status",0
"207","G18001357","percentage_contamination",0
"208","G18001357","contigs",91
"209","G18001357","N50",227842
"210","G18001357","total_length",6846053
"211","G18001362","contamination_status",0
"212","G18001362","percentage_contamination",0
"213","G18001362","contigs",43
"214","G18001362","N50",434042
"215","G18001362","total_length",6740318
"216","G18001365","contamination_status",0
"217","G18001365","percentage_contamination",0
"218","G18001365","contigs",43
"219","G18001365","N50",401699
"220","G18001365","total_length",6296949
"221","G18001368","contamination_status",0
"222","G18001368","percentage_contamination",0
"223","G18001368","contigs",58
"224","G18001368","N50",272147
"225","G18001368","total_length",7006573
"226","G18001372","contamination_status",0
"227","G18001372","percentage_contamination",0
"228","G18001372","contigs",22
"229","G18001372","N50",486786
"230","G18001372","total_length",6348275
"231","G18001373","contamination_status",0
"232","G18001373","percentage_contamination",0
"233","G18001373","contigs",48
"234","G18001373","N50",433938
"235","G18001373","total_length",6784059
"236","G18001374","contamination_status",0
"237","G18001374","percentage_contamination",0
"238","G18001374","contigs",61
"239","G18001374","N50",231622
"240","G18001374","total_length",6999996
"241","G18001375","contamination_status",0
"242","G18001375","percentage_contamination",0
"243","G18001375","contigs",40
"244","G18001375","N50",386015
"245","G18001375","total_length",6494334
"246","G18001376","contamination_status",0
"247","G18001376","percentage_contamination",0
"248","G18001376","contigs",65
"249","G18001376","N50",292299
"250","G18001376","total_length",6810275
"251","G18001377","contamination_status",0
"252","G18001377","percentage_contamination",0
"253","G18001377","contigs",15
"254","G18001377","N50",781655
"255","G18001377","total_length",6404140
"256","G18001378","contamination_status",0
"257","G18001378","percentage_contamination",0
"258","G18001378","contigs",61
"259","G18001378","N50",265902
"260","G18001378","total_length",7075706
"261","G18001379","contamination_status",0
"262","G18001379","percentage_contamination",0
"263","G18001379","contigs",28
"264","G18001379","N50",705809
"265","G18001379","total_length",6373702
"266","G18001381","contamination_status",0
"267","G18001381","percentage_contamination",0
"268","G18001381","contigs",37
"269","G18001381","N50",419643
"270","G18001381","total_length",6298548
"271","G18001382","contamination_status",0
"272","G18001382","percentage_contamination",0
"273","G18001382","contigs",73
"274","G18001382","N50",269264
"275","G18001382","total_length",6807131
"276","G18001384","contamination_status",0
"277","G18001384","percentage_contamination",0
"278","G18001384","contigs",59
"279","G18001384","N50",236712
"280","G18001384","total_length",7116092
"281","G18001385","contamination_status",0
"282","G18001385","percentage_contamination",0
"283","G18001385","contigs",44
"284","G18001385","N50",650868
"285","G18001385","total_length",6782898
"286","G18001386","contamination_status",0
"287","G18001386","percentage_contamination",0
"288","G18001386","contigs",64
"289","G18001386","N50",265902
"290","G18001386","total_length",7130016
"291","G18001387","contamination_status",0
"292","G18001387","percentage_contamination",0
"293","G18001387","contigs",40
"294","G18001387","N50",434035
"295","G18001387","total_length",6743879
"296","G18001388","contamination_status",0
"297","G18001388","percentage_contamination",0
"298","G18001388","contigs",46
"299","G18001388","N50",596823
"300","G18001388","total_length",6765083
"301","G18001389","contamination_status",0
"302","G18001389","percentage_contamination",0
"303","G18001389","contigs",54
"304","G18001389","N50",290684
"305","G18001389","total_length",6728338
"306","G18001391","contamination_status",0
"307","G18001391","percentage_contamination",0
"308","G18001391","contigs",19
"309","G18001391","N50",902400
"310","G18001391","total_length",6852526
"311","G18001392","contamination_status",0
"312","G18001392","percentage_contamination",0
"313","G18001392","contigs",44
"314","G18001392","N50",386868
"315","G18001392","total_length",6864161
"316","G18001393","contamination_status",0
"317","G18001393","percentage_contamination",0
"318","G18001393","contigs",56
"319","G18001393","N50",305138
"320","G18001393","total_length",6734125
"321","G18001394","contamination_status",0
"322","G18001394","percentage_contamination",0
"323","G18001394","contigs",33
"324","G18001394","N50",517413
"325","G18001394","total_length",6360271
"326","G18001395","contamination_status",0
"327","G18001395","percentage_contamination",0
"328","G18001395","contigs",56
"329","G18001395","N50",294051
"330","G18001395","total_length",7016964
"331","G18001396","contamination_status",0
"332","G18001396","percentage_contamination",0
"333","G18001396","contigs",60
"334","G18001396","N50",307965
"335","G18001396","total_length",7113328
"336","G18001398","contamination_status",0
"337","G18001398","percentage_contamination",0
"338","G18001398","contigs",80
"339","G18001398","N50",228005
"340","G18001398","total_length",6955132
"341","G18001404","contamination_status",0
"342","G18001404","percentage_contamination",0
"343","G18001404","contigs",60
"344","G18001404","N50",236071
"345","G18001404","total_length",7215524
"346","G18001405","contamination_status",0
"347","G18001405","percentage_contamination",0
"348","G18001405","contigs",32
"349","G18001405","N50",648963
"350","G18001405","total_length",6348533
"351","G18001409","contamination_status",1
"352","G18001409","percentage_contamination",0
"353","G18001409","contigs",627
"354","G18001409","N50",205267
"355","G18001409","total_length",8025774
"356","G18001410","contamination_status",0
"357","G18001410","percentage_contamination",0
"358","G18001410","contigs",87
"359","G18001410","N50",255165
"360","G18001410","total_length",7469647
"361","G18001413","contamination_status",0
"362","G18001413","percentage_contamination",0
"363","G18001413","contigs",39
"364","G18001413","N50",426302
"365","G18001413","total_length",6482273
"366","G18001414","contamination_status",0
"367","G18001414","percentage_contamination",0
"368","G18001414","contigs",36
"369","G18001414","N50",804675
"370","G18001414","total_length",6773991
"371","G18001415","contamination_status",0
"372","G18001415","percentage_contamination",0
"373","G18001415","contigs",83
"374","G18001415","N50",242256
"375","G18001415","total_length",7403237
"376","G18001416","contamination_status",0
"377","G18001416","percentage_contamination",0
"378","G18001416","contigs",22
"379","G18001416","N50",779529
"380","G18001416","total_length",6350295
"381","G18001419","contamination_status",0
"382","G18001419","percentage_contamination",0
"383","G18001419","contigs",23
"384","G18001419","N50",580830
"385","G18001419","total_length",6804939
"386","G18001422","contamination_status",0
"387","G18001422","percentage_contamination",0
"388","G18001422","contigs",82
"389","G18001422","N50",267295
"390","G18001422","total_length",7045334
"391","G18001424","contamination_status",0
"392","G18001424","percentage_contamination",0
"393","G18001424","contigs",42
"394","G18001424","N50",265309
"395","G18001424","total_length",6788518
"396","G18001427","contamination_status",0
"397","G18001427","percentage_contamination",0
"398","G18001427","contigs",29
"399","G18001427","N50",484727
"400","G18001427","total_length",6417854
"401","G18001431","contamination_status",0
"402","G18001431","percentage_contamination",0
"403","G18001431","contigs",32
"404","G18001431","N50",468327
"405","G18001431","total_length",6579968
"406","G18001432","contamination_status",0
"407","G18001432","percentage_contamination",0
"408","G18001432","contigs",27
"409","G18001432","N50",426045
"410","G18001432","total_length",6395154
"411","G18001433","contamination_status",0
"412","G18001433","percentage_contamination",0
"413","G18001433","contigs",86
"414","G18001433","N50",282289
"415","G18001433","total_length",7003276
"416","G18001434","contamination_status",0
"417","G18001434","percentage_contamination",0
"418","G18001434","contigs",93
"419","G18001434","N50",205703
"420","G18001434","total_length",7582818
"421","G18001438","contamination_status",0
"422","G18001438","percentage_contamination",0
"423","G18001438","contigs",32
"424","G18001438","N50",440992
"425","G18001438","total_length",6503349
"426","G18001439","contamination_status",0
"427","G18001439","percentage_contamination",0
"428","G18001439","contigs",51
"429","G18001439","N50",290480
"430","G18001439","total_length",6731024
"431","G18001442","contamination_status",0
"432","G18001442","percentage_contamination",0
"433","G18001442","contigs",25
"434","G18001442","N50",773975
"435","G18001442","total_length",6383060
"436","G18001444","contamination_status",0
"437","G18001444","percentage_contamination",0
"438","G18001444","contigs",34
"439","G18001444","N50",394041
"440","G18001444","total_length",6424562
"441","G18001446","contamination_status",0
"442","G18001446","percentage_contamination",0
"443","G18001446","contigs",33
"444","G18001446","N50",426045
"445","G18001446","total_length",6392090
"446","G18001448","contamination_status",0
"447","G18001448","percentage_contamination",0
"448","G18001448","contigs",33
"449","G18001448","N50",752006
"450","G18001448","total_length",6318766
"451","G18001451","contamination_status",0
"452","G18001451","percentage_contamination",0
"453","G18001451","contigs",46
"454","G18001451","N50",418481
"455","G18001451","total_length",6761148
"456","G18001453","contamination_status",0
"457","G18001453","percentage_contamination",0
"458","G18001453","contigs",45
"459","G18001453","N50",375413
"460","G18001453","total_length",7091200
"461","G18001455","contamination_status",0
"462","G18001455","percentage_contamination",0
"463","G18001455","contigs",72
"464","G18001455","N50",235395
"465","G18001455","total_length",6683588
"466","G18001459","contamination_status",0
"467","G18001459","percentage_contamination",0
"468","G18001459","contigs",64
"469","G18001459","N50",234327
"470","G18001459","total_length",7158190
"471","G18001461","contamination_status",0
"472","G18001461","percentage_contamination",0
"473","G18001461","contigs",67
"474","G18001461","N50",264681
"475","G18001461","total_length",7025013
"476","G18001462","contamination_status",0
"477","G18001462","percentage_contamination",0
"478","G18001462","contigs",62
"479","G18001462","N50",290398
"480","G18001462","total_length",7103468
"481","G18001465","contamination_status",0
"482","G18001465","percentage_contamination",0
"483","G18001465","contigs",31
"484","G18001465","N50",372075
"485","G18001465","total_length",6472166
"486","G18001468","contamination_status",0
"487","G18001468","percentage_contamination",0
"488","G18001468","contigs",37
"489","G18001468","N50",425925
"490","G18001468","total_length",6324411
"491","G18001469","contamination_status",0
"492","G18001469","percentage_contamination",0
"493","G18001469","contigs",64
"494","G18001469","N50",236243
"495","G18001469","total_length",6962919
"496","G18001470","contamination_status",0
"497","G18001470","percentage_contamination",0
"498","G18001470","contigs",52
"499","G18001470","N50",339340
"500","G18001470","total_length",7334080
"501","G18001474","contamination_status",0
"502","G18001474","percentage_contamination",0
"503","G18001474","contigs",37
"504","G18001474","N50",358548
"505","G18001474","total_length",6690908
"506","G18001479","contamination_status",0
"507","G18001479","percentage_contamination",0
"508","G18001479","contigs",51
"509","G18001479","N50",261117
"510","G18001479","total_length",6834348
"511","G18001484","contamination_status",0
"512","G18001484","percentage_contamination",0
"513","G18001484","contigs",36
"514","G18001484","N50",487576
"515","G18001484","total_length",6621267
"516","G18001486","contamination_status",0
"517","G18001486","percentage_contamination",0
"518","G18001486","contigs",100
"519","G18001486","N50",210740
"520","G18001486","total_length",7537124
"521","G18001493","contamination_status",0
"522","G18001493","percentage_contamination",0
"523","G18001493","contigs",63
"524","G18001493","N50",215047
"525","G18001493","total_length",6917736
"526","G18001494","contamination_status",0
"527","G18001494","percentage_contamination",0
"528","G18001494","contigs",36
"529","G18001494","N50",466090
"530","G18001494","total_length",6387706
"531","G18001498","contamination_status",0
"532","G18001498","percentage_contamination",0
"533","G18001498","contigs",57
"534","G18001498","N50",260148
"535","G18001498","total_length",7074122
"536","G18001516","contamination_status",0
"537","G18001516","percentage_contamination",0
"538","G18001516","contigs",23
"539","G18001516","N50",486678
"540","G18001516","total_length",6340058
"541","G18001519","contamination_status",0
"542","G18001519","percentage_contamination",0
"543","G18001519","contigs",68
"544","G18001519","N50",290562
"545","G18001519","total_length",7153072
"546","G18001521","contamination_status",0
"547","G18001521","percentage_contamination",0
"548","G18001521","contigs",67
"549","G18001521","N50",229831
"550","G18001521","total_length",6947346
"551","G18001522","contamination_status",0
"552","G18001522","percentage_contamination",0
"553","G18001522","contigs",74
"554","G18001522","N50",286279
"555","G18001522","total_length",7143521
"556","G18001523","contamination_status",0
"557","G18001523","percentage_contamination",0
"558","G18001523","contigs",62
"559","G18001523","N50",308019
"560","G18001523","total_length",7155190
"561","G18001524","contamination_status",0
"562","G18001524","percentage_contamination",0
"563","G18001524","contigs",23
"564","G18001524","N50",678001
"565","G18001524","total_length",6553740
"566","G18001525","contamination_status",0
"567","G18001525","percentage_contamination",0
"568","G18001525","contigs",67
"569","G18001525","N50",291074
"570","G18001525","total_length",7115713
"571","G18001526","contamination_status",0
"572","G18001526","percentage_contamination",0
"573","G18001526","contigs",57
"574","G18001526","N50",286656
"575","G18001526","total_length",7066086
"576","G18001527","contamination_status",1
"577","G18001527","percentage_contamination",0
"578","G18001527","contigs",74
"579","G18001527","N50",289476
"580","G18001527","total_length",7148531
"581","G18001530","contamination_status",0
"582","G18001530","percentage_contamination",0
"583","G18001530","contigs",31
"584","G18001530","N50",418501
"585","G18001530","total_length",6286643
"586","G18001536","contamination_status",0
"587","G18001536","percentage_contamination",0
"588","G18001536","contigs",90
"589","G18001536","N50",320007
"590","G18001536","total_length",7130800
"591","G18001541","contamination_status",1
"592","G18001541","percentage_contamination",0
"593","G18001541","contigs",45
"594","G18001541","N50",768827
"595","G18001541","total_length",6827205
"596","G18001543","contamination_status",0
"597","G18001543","percentage_contamination",0
"598","G18001543","contigs",25
"599","G18001543","N50",479085
"600","G18001543","total_length",6412824
"601","G18001546","contamination_status",0
"602","G18001546","percentage_contamination",0
"603","G18001546","contigs",66
"604","G18001546","N50",235596
"605","G18001546","total_length",6885736
"606","G18001547","contamination_status",0
"607","G18001547","percentage_contamination",0
"608","G18001547","contigs",20
"609","G18001547","N50",723370
"610","G18001547","total_length",6322640
"611","G18001555","contamination_status",1
"612","G18001555","percentage_contamination",18.6
"613","G18001555","contigs",312
"614","G18001555","N50",156689
"615","G18001555","total_length",7835864
"616","G18001556","contamination_status",0
"617","G18001556","percentage_contamination",0
"618","G18001556","contigs",41
"619","G18001556","N50",589672
"620","G18001556","total_length",6791243
"621","G18001570","contamination_status",1
"622","G18001570","percentage_contamination",13.13
"623","G18001570","contigs",712
"624","G18001570","N50",166348
"625","G18001570","total_length",7793566
"626","G18001606","contamination_status",0
"627","G18001606","percentage_contamination",0
"628","G18001606","contigs",43
"629","G18001606","N50",656400
"630","G18001606","total_length",6561755
"631","G18001611","contamination_status",0
"632","G18001611","percentage_contamination",0
"633","G18001611","contigs",55
"634","G18001611","N50",291730
"635","G18001611","total_length",7116183
"636","G18001617","contamination_status",1
"637","G18001617","percentage_contamination",5.21
"638","G18001617","contigs",611
"639","G18001617","N50",213120
"640","G18001617","total_length",8194395
"641","G18001635","contamination_status",1
"642","G18001635","percentage_contamination",0
"643","G18001635","contigs",59
"644","G18001635","N50",486815
"645","G18001635","total_length",7365945
"646","G18001637","contamination_status",0
"647","G18001637","percentage_contamination",0
"648","G18001637","contigs",24
"649","G18001637","N50",793541
"650","G18001637","total_length",6600735
"651","G18001644","contamination_status",0
"652","G18001644","percentage_contamination",0
"653","G18001644","contigs",38
"654","G18001644","N50",336734
"655","G18001644","total_length",6526854
"656","G18001647","contamination_status",0
"657","G18001647","percentage_contamination",0
"658","G18001647","contigs",66
"659","G18001647","N50",307846
"660","G18001647","total_length",7172748
"661","G18001648","contamination_status",0
"662","G18001648","percentage_contamination",0
"663","G18001648","contigs",54
"664","G18001648","N50",308019
"665","G18001648","total_length",7165921
"666","G18001649","contamination_status",0
"667","G18001649","percentage_contamination",0
"668","G18001649","contigs",79
"669","G18001649","N50",226645
"670","G18001649","total_length",6860853
"671","G18001651","contamination_status",0
"672","G18001651","percentage_contamination",0
"673","G18001651","contigs",80
"674","G18001651","N50",203566
"675","G18001651","total_length",6826652
"676","G18001652","contamination_status",0
"677","G18001652","percentage_contamination",0
"678","G18001652","contigs",48
"679","G18001652","N50",290895
"680","G18001652","total_length",7093646
"681","G18001653","contamination_status",0
"682","G18001653","percentage_contamination",0
"683","G18001653","contigs",79
"684","G18001653","N50",227857
"685","G18001653","total_length",6850620
"686","G18001654","contamination_status",0
"687","G18001654","percentage_contamination",0
"688","G18001654","contigs",64
"689","G18001654","N50",257136
"690","G18001654","total_length",6927797
"691","G18001655","contamination_status",0
"692","G18001655","percentage_contamination",0
"693","G18001655","contigs",74
"694","G18001655","N50",268422
"695","G18001655","total_length",7205629
"696","G18001656","contamination_status",0
"697","G18001656","percentage_contamination",0
"698","G18001656","contigs",58
"699","G18001656","N50",294051
"700","G18001656","total_length",6984264
"701","G18001657","contamination_status",0
"702","G18001657","percentage_contamination",0
"703","G18001657","contigs",55
"704","G18001657","N50",361645
"705","G18001657","total_length",6954179
"706","G18001658","contamination_status",0
"707","G18001658","percentage_contamination",0
"708","G18001658","contigs",60
"709","G18001658","N50",295050
"710","G18001658","total_length",7148887
"711","G18001659","contamination_status",0
"712","G18001659","percentage_contamination",0
"713","G18001659","contigs",60
"714","G18001659","N50",307847
"715","G18001659","total_length",7103006
"716","G18001660","contamination_status",0
"717","G18001660","percentage_contamination",0
"718","G18001660","contigs",21
"719","G18001660","N50",804992
"720","G18001660","total_length",6910348
"721","G18001663","contamination_status",0
"722","G18001663","percentage_contamination",0
"723","G18001663","contigs",50
"724","G18001663","N50",285974
"725","G18001663","total_length",7091256
"726","G18001664","contamination_status",1
"727","G18001664","percentage_contamination",31.69
"728","G18001664","contigs",1171
"729","G18001664","N50",85247
"730","G18001664","total_length",11502147
"731","G18001665","contamination_status",0
"732","G18001665","percentage_contamination",0
"733","G18001665","contigs",61
"734","G18001665","N50",303276
"735","G18001665","total_length",7097251
"736","G18001666","contamination_status",0
"737","G18001666","percentage_contamination",0
"738","G18001666","contigs",74
"739","G18001666","N50",226642
"740","G18001666","total_length",6849888
"741","G18001668","contamination_status",0
"742","G18001668","percentage_contamination",0
"743","G18001668","contigs",73
"744","G18001668","N50",297017
"745","G18001668","total_length",6906225
"746","G18001669","contamination_status",0
"747","G18001669","percentage_contamination",0
"748","G18001669","contigs",61
"749","G18001669","N50",231636
"750","G18001669","total_length",7078490
"751","G18001670","contamination_status",0
"752","G18001670","percentage_contamination",0
"753","G18001670","contigs",90
"754","G18001670","N50",268696
"755","G18001670","total_length",7189117
"756","G18001673","contamination_status",0
"757","G18001673","percentage_contamination",0
"758","G18001673","contigs",66
"759","G18001673","N50",522495
"760","G18001673","total_length",6965170
"761","G18001675","contamination_status",0
"762","G18001675","percentage_contamination",0
"763","G18001675","contigs",69
"764","G18001675","N50",292299
"765","G18001675","total_length",6911887
"766","G18001679","contamination_status",0
"767","G18001679","percentage_contamination",0
"768","G18001679","contigs",73
"769","G18001679","N50",228737
"770","G18001679","total_length",7043076
"771","G18001681","contamination_status",0
"772","G18001681","percentage_contamination",0
"773","G18001681","contigs",64
"774","G18001681","N50",269017
"775","G18001681","total_length",6802211
"776","G18001682","contamination_status",0
"777","G18001682","percentage_contamination",0
"778","G18001682","contigs",77
"779","G18001682","N50",329317
"780","G18001682","total_length",6962219
"781","G18001683","contamination_status",0
"782","G18001683","percentage_contamination",0
"783","G18001683","contigs",140
"784","G18001683","N50",235396
"785","G18001683","total_length",6855383
"786","G18001685","contamination_status",0
"787","G18001685","percentage_contamination",0
"788","G18001685","contigs",118
"789","G18001685","N50",284462
"790","G18001685","total_length",6934995
"791","G18001686","contamination_status",0
"792","G18001686","percentage_contamination",0
"793","G18001686","contigs",60
"794","G18001686","N50",301186
"795","G18001686","total_length",7008819
"796","G18001688","contamination_status",0
"797","G18001688","percentage_contamination",0
"798","G18001688","contigs",75
"799","G18001688","N50",261305
"800","G18001688","total_length",6847659
"801","G18001692","contamination_status",0
"802","G18001692","percentage_contamination",0
"803","G18001692","contigs",39
"804","G18001692","N50",375414
"805","G18001692","total_length",7136864
"806","G18001702","contamination_status",0
"807","G18001702","percentage_contamination",0
"808","G18001702","contigs",73
"809","G18001702","N50",311008
"810","G18001702","total_length",6928958
"811","G18001705","contamination_status",0
"812","G18001705","percentage_contamination",0
"813","G18001705","contigs",61
"814","G18001705","N50",307965
"815","G18001705","total_length",7182199
"816","G18001706","contamination_status",0
"817","G18001706","percentage_contamination",0
"818","G18001706","contigs",57
"819","G18001706","N50",236053
"820","G18001706","total_length",7125803
"821","G18001708","contamination_status",0
"822","G18001708","percentage_contamination",0
"823","G18001708","contigs",24
"824","G18001708","N50",532500
"825","G18001708","total_length",6402360
"826","G18001711","contamination_status",0
"827","G18001711","percentage_contamination",0
"828","G18001711","contigs",55
"829","G18001711","N50",269273
"830","G18001711","total_length",7162371
"831","G18001716","contamination_status",1
"832","G18001716","percentage_contamination",12.01
"833","G18001716","contigs",1602
"834","G18001716","N50",56813
"835","G18001716","total_length",12254752
"836","G18001724","contamination_status",0
"837","G18001724","percentage_contamination",0
"838","G18001724","contigs",67
"839","G18001724","N50",300802
"840","G18001724","total_length",6743260
"841","G18001726","contamination_status",0
"842","G18001726","percentage_contamination",0
"843","G18001726","contigs",68
"844","G18001726","N50",252834
"845","G18001726","total_length",7186556
"846","G18001733","contamination_status",0
"847","G18001733","percentage_contamination",0
"848","G18001733","contigs",64
"849","G18001733","N50",264848
"850","G18001733","total_length",7147375
"851","G18001734","contamination_status",0
"852","G18001734","percentage_contamination",0
"853","G18001734","contigs",37
"854","G18001734","N50",417630
"855","G18001734","total_length",6393788
"856","G18001735","contamination_status",0
"857","G18001735","percentage_contamination",0
"858","G18001735","contigs",68
"859","G18001735","N50",289936
"860","G18001735","total_length",6745633
"861","G18001737","contamination_status",0
"862","G18001737","percentage_contamination",0
"863","G18001737","contigs",96
"864","G18001737","N50",165725
"865","G18001737","total_length",6980360
"866","G18001738","contamination_status",0
"867","G18001738","percentage_contamination",0
"868","G18001738","contigs",67
"869","G18001738","N50",250582
"870","G18001738","total_length",6729847
"871","G18001739","contamination_status",0
"872","G18001739","percentage_contamination",0
"873","G18001739","contigs",35
"874","G18001739","N50",421629
"875","G18001739","total_length",6450044
"876","G18001740","contamination_status",0
"877","G18001740","percentage_contamination",0
"878","G18001740","contigs",60
"879","G18001740","N50",224389
"880","G18001740","total_length",7283566
"881","G18001743","contamination_status",0
"882","G18001743","percentage_contamination",0
"883","G18001743","contigs",73
"884","G18001743","N50",280059
"885","G18001743","total_length",7345418
"886","G18001745","contamination_status",0
"887","G18001745","percentage_contamination",0
"888","G18001745","contigs",66
"889","G18001745","N50",231397
"890","G18001745","total_length",7283733
"891","G18001749","contamination_status",0
"892","G18001749","percentage_contamination",0
"893","G18001749","contigs",64
"894","G18001749","N50",253826
